player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
Vania,G2.G,"['harbor', 'omen', 'gekko']",202,1.48,243.0,1.81,84%,152.7,0.89,0.50,0.05,0.04,42%,33%,6530,G2 Gozen,ap,False
xeus,HOWL,"['raze', 'jett']",381,1.28,276.7,1.36,71%,178.4,0.98,0.18,0.21,0.15,30%,20%,13558,HOWL Esports,ap,False
kaajak,APK,"['jett', 'gekko', 'yoru']",599,1.27,275.4,1.43,72%,177.2,1.00,0.17,0.25,0.16,39%,9%,11479,Apeks,ap,False
Jade,535,"['breach', 'kayo', 'yoru']",535,1.25,236.2,1.21,78%,151.1,0.83,0.50,0.09,0.04,32%,15%,11496,ALTERNATE aTTaX Ruby,ap,False
Izzy,SUP,"['raze', 'iso', 'neon']",259,1.25,273.1,1.38,72%,169.1,0.97,0.16,0.21,0.12,31%,13%,4567,Papara SuperMassive,ap,False
Vitie,Uzhi,"['omen', 'brimstone']",201,1.24,243.2,1.20,80%,156.0,0.82,0.48,0.07,0.05,33%,33%,12679,apinaorkesteri,ap,False
rezq,G2.G,"['yoru', 'raze', 'neon']",202,1.23,297.2,1.51,75%,178.7,1.04,0.19,0.31,0.17,23%,14%,6530,G2 Gozen,ap,False
Lime,FKS,"['yoru', 'sage', 'neon']",315,1.23,240.6,1.34,71%,155.0,0.85,0.24,0.13,0.13,33%,18%,6882,FOKUS,ap,False
trexx,VIT,"['sova', 'fade']",611,1.22,226.2,1.19,76%,154.5,0.77,0.40,0.08,0.07,20%,15%,2059,Team Vitality,ap,False
xuss,MOUZ,"['jett', 'raze', 'iso']",634,1.21,253.8,1.33,74%,161.9,0.91,0.13,0.21,0.12,26%,16%,8044,MOUZ,ap,False
pyrolll,ACE,"['viper', 'omen', 'astra']",375,1.21,217.5,1.28,72%,141.4,0.77,0.27,0.09,0.09,32%,16%,3531,Acend,ap,False
Chronicle,FNC,"['sova', 'viper', 'skye']",604,1.21,219.7,1.28,77%,150.7,0.76,0.33,0.10,0.06,27%,14%,2593,FNATIC,ap,False
Ruxic,FF,"['viper', 'omen']",235,1.21,239.7,1.29,77%,159.0,0.84,0.36,0.14,0.11,27%,13%,4686,Fire Flux Esports,ap,False
PROFEK,GN,"['omen', 'viper', 'astra']",496,1.21,222.8,1.31,77%,150.7,0.81,0.34,0.09,0.07,29%,15%,12474,GoNext Esports,ap,False
fluxxy,HERO,"['omen', 'viper', 'astra']",296,1.20,217.5,1.23,78%,142.9,0.79,0.33,0.07,0.05,31%,21%,15749,HEROIC Valkyries,ap,False
mimi,G2.G,"['killjoy', 'deadlock', 'gekko']",202,1.20,186.7,1.48,81%,126.9,0.70,0.24,0.05,0.05,32%,11%,6530,G2 Gozen,ap,False
Lar0k,PCF,"['breach', 'iso', 'gekko']",827,1.20,208.9,1.19,74%,136.1,0.74,0.40,0.08,0.07,31%,23%,3478,PCIFIC Espor,ap,False
Akita,ZER.M,"['jett', 'raze']",348,1.19,283.4,1.25,73%,180.8,0.98,0.18,0.26,0.19,28%,35%,14613,Zerance Mint,ap,False
Filu,DSY,"['raze', 'jett', 'gekko']",351,1.18,249.9,1.24,74%,160.9,0.90,0.18,0.21,0.15,31%,22%,6538,DSYRE,ap,False
harambe,LGC,"['raze', 'jett', 'omen']",358,1.18,247.9,1.25,70%,160.0,0.88,0.19,0.18,0.12,23%,12%,14523,Requiem,ap,False
wackie,DSY,"['gekko', 'killjoy', 'viper']",351,1.18,222.7,1.24,76%,145.2,0.78,0.35,0.10,0.08,32%,20%,6538,DSYRE,ap,False
Derke,FNC,"['yoru', 'raze', 'iso']",604,1.18,246.8,1.28,72%,161.0,0.88,0.20,0.17,0.15,24%,29%,2593,FNATIC,ap,False
Sayonara,KPI,"['skye', 'kayo', 'sova']",323,1.18,250.8,1.28,74%,164.7,0.90,0.29,0.14,0.10,34%,16%,6313,KPI Gaming,ap,False
Thuy,ZER.M,"['omen', 'viper']",348,1.17,218.5,1.22,79%,137.2,0.78,0.45,0.07,0.07,22%,28%,14613,Zerance Mint,ap,False
LizA,VLNT,"['jett', 'raze', 'neon']",561,1.15,258.5,1.26,73%,163.5,0.92,0.16,0.23,0.19,33%,23%,14737,VALIANT GC,ap,False
chiwa,ACE,"['killjoy', 'cypher']",375,1.15,218.2,1.26,71%,148.3,0.80,0.17,0.06,0.06,28%,6%,3531,Acend,ap,False
aNguiSt,CGN,"['viper', 'killjoy', 'cypher']",775,1.15,216.8,1.24,72%,146.9,0.81,0.15,0.11,0.08,34%,16%,5214,CGN Esports,ap,False
LewN,GS,"['jett', 'iso']",221,1.15,244.4,1.13,65%,159.9,0.85,0.24,0.17,0.19,32%,27%,4572,Galatasaray Esports,ap,False
ritsu,Gala,"['chamber', 'killjoy', 'kayo']",240,1.14,223.3,1.15,69%,153.7,0.81,0.15,0.17,0.10,32%,8%,15811,Ketçaplı Ruffles,ap,False
waddle,DSY,"['skye', 'sova', 'kayo']",351,1.14,197.0,1.16,77%,131.1,0.70,0.32,0.05,0.05,31%,19%,6538,DSYRE,ap,False
Sayf,VIT,"['jett', 'neon', 'raze']",611,1.14,235.5,1.20,68%,153.8,0.83,0.19,0.13,0.16,24%,16%,2059,Team Vitality,ap,False
Leosen,SGE,"['raze', 'jett', 'neon']",206,1.14,234.7,1.21,72%,159.9,0.88,0.17,0.17,0.17,25%,,14478,Eintracht Frankfurt,ap,False
Alfajer,FNC,"['iso', 'killjoy', 'breach']",604,1.14,219.2,1.22,74%,147.5,0.79,0.22,0.09,0.07,31%,15%,2593,FNATIC,ap,False
kamyk,JL,"['kayo', 'reyna', 'breach']",449,1.13,212.2,1.16,73%,140.9,0.78,0.34,0.09,0.08,33%,21%,11232,Joblife,ap,False
luckyMrJ,tras,"['cypher', 'viper', 'sage']",385,1.13,206.0,1.12,74%,131.7,0.74,0.29,0.11,0.08,28%,16%,9621,trashcan,ap,False
f4ngeer,tras,"['raze', 'killjoy', 'jett']",385,1.13,234.4,1.18,71%,159.9,0.84,0.20,0.15,0.16,30%,9%,9621,trashcan,ap,False
lauress,FF,"['cypher', 'killjoy', 'clove']",209,1.13,223.6,1.20,73%,146.4,0.82,0.17,0.12,0.09,31%,16%,4686,Fire Flux Esports,ap,False
sarah,GX.GC,"['breach', 'kayo', 'viper']",236,1.12,214.5,1.13,78%,132.2,0.75,0.50,0.07,0.05,29%,15%,15119,GIANTX GC,ap,False
RieNs,TH,"['gekko', 'breach', 'sova']",950,1.12,208.5,1.13,75%,139.9,0.74,0.32,0.08,0.08,36%,16%,1001,Team Heretics,ap,False
Lyda,HERO,"['viper', 'clove', 'sova']",296,1.12,220.5,1.14,75%,146.9,0.78,0.28,0.13,0.08,33%,20%,15749,HEROIC Valkyries,ap,False
ikyoo,FKS.S,"['chamber', 'yoru', 'breach']",262,1.12,218.8,1.12,73%,144.9,0.79,0.29,0.10,0.08,26%,10%,12626,AEX-1 Nova,ap,False
B1SK,ZYG,"['raze', 'jett', 'neon']",323,1.12,230.5,1.25,71%,152.5,0.84,0.14,0.20,0.14,22%,21%,15872,ZY Gaming,ap,False
ComeBack,PCF,"['jett', 'raze', 'yoru']",827,1.11,252.6,1.21,71%,163.8,0.89,0.16,0.19,0.16,28%,15%,3478,PCIFIC Espor,ap,False
DaviH,CGN,"['sage', 'sova', 'deadlock']",775,1.11,193.7,1.11,72%,135.6,0.67,0.29,0.06,0.05,22%,16%,5214,CGN Esports,ap,False
