player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
elfie,MKS,"['reyna', 'raze', 'omen']",310,1.27,260.7,1.21,78%,169.8,0.90,0.31,0.13,0.12,26%,23%,15899,Cardboard Dinosaur,jp,False
par,scofield,"['reyna', 'raze', 'killjoy']",206,1.23,262.0,1.23,71%,167.7,0.92,0.20,0.18,0.09,28%,33%,15052,JustUs,jp,False
ZesBeeW,BME,"['omen', 'viper', 'brimstone']",475,1.21,214.7,1.27,79%,136.7,0.79,0.43,0.08,0.05,20%,12%,466,BOOM Esports,jp,False
alyaL,FPT,"['viper', 'fade', 'killjoy']",216,1.20,238.5,1.26,75%,159.7,0.83,0.29,0.12,0.10,28%,6%,14277,Team Flash,jp,False
seph1roth,MITH,"['killjoy', 'viper', 'cypher']",366,1.19,229.1,1.31,74%,151.7,0.83,0.17,0.11,0.08,39%,19%,4210,Made in Thailand,jp,False
PapiChulo,NAOS,"['omen', 'viper', 'brimstone']",417,1.19,209.8,1.23,77%,137.6,0.77,0.35,0.06,0.07,26%,18%,7031,NAOS,jp,False
PIETY,SISU,"['viper', 'killjoy', 'cypher']",358,1.19,225.8,1.26,75%,152.2,0.79,0.26,0.08,0.02,32%,16%,16040,sisu,jp,False
ting2k5,FPT,"['fade', 'skye', 'cypher']",216,1.18,213.2,1.40,72%,146.2,0.82,0.14,0.13,0.11,31%,8%,14277,Team Flash,jp,False
Kohaibi,SMG.GC,"['cypher', 'iso', 'reyna']",272,1.18,235.4,1.24,77%,154.0,0.81,0.25,0.12,0.05,25%,8%,15327,BOBA,jp,False
cgrs,MITH,"['sova', 'gekko', 'cypher']",366,1.17,213.4,1.21,78%,143.5,0.75,0.32,0.06,0.03,24%,17%,4210,Made in Thailand,jp,False
primmie,TLN,"['clove', 'jett', 'iso']",203,1.16,249.9,1.15,71%,165.0,0.90,0.23,0.13,0.10,41%,20%,8304,Talon Esports,jp,False
grumble,DSG,"['viper', 'cypher']",420,1.16,233.1,1.28,77%,157.5,0.85,0.26,0.07,0.05,39%,5%,14773,Disguised,jp,False
kellyS,OAS,"['raze', 'kayo', 'breach']",251,1.16,243.2,1.09,78%,168.3,0.80,0.42,0.13,0.10,19%,14%,3136,Oasis Gaming,jp,False
Shiro,BME,"['viper', 'clove', 'breach']",475,1.16,221.8,1.15,79%,148.1,0.78,0.47,0.12,0.08,25%,22%,466,BOOM Esports,jp,False
kitkatwc,NE,"['skye', 'viper', 'kayo']",324,1.15,239.1,1.19,75%,148.9,0.83,0.40,0.13,0.06,24%,10%,15911,invincible gc,jp,False
Famouz,BME,"['raze', 'jett']",475,1.15,249.4,1.22,73%,162.1,0.85,0.22,0.19,0.16,17%,15%,466,BOOM Esports,jp,False
d0rf,FPT,"['gekko', 'killjoy', 'breach']",216,1.15,204.4,1.25,76%,138.0,0.75,0.23,0.06,0.05,32%,25%,14277,Team Flash,jp,False
Cendary,NF,['clove'],201,1.14,288.1,1.10,77%,190.7,0.99,0.37,0.14,0.12,24%,10%,15913,LILAX,jp,False
